"","timestep","V2","V3","V4"
"1",1,0.436658333333333,0.4293,0.4436
"2",2,0.434616666666667,0.4265,0.4391
"3",3,0.436583333333333,0.428,0.446
"4",4,0.4361,0.4312,0.4428
"5",5,0.433783333333333,0.4288,0.4442
"6",6,0.43625,0.429,0.4463
"7",7,0.434358333333333,0.423,0.4466
"8",8,0.431125,0.4256,0.4419
"9",9,0.431116666666667,0.4224,0.4389
"10",10,0.429708333333333,0.4244,0.4381
"11",11,0.4301,0.421,0.4373
"12",12,0.428716666666667,0.4229,0.4372
"13",13,0.426225,0.4178,0.434
"14",14,0.426783333333333,0.4206,0.4374
"15",15,0.425958333333333,0.4172,0.4347
"16",16,0.423116666666667,0.4177,0.4276
"17",17,0.424983333333333,0.4199,0.4302
"18",18,0.422875,0.4133,0.4336
"19",19,0.42305,0.4169,0.4353
"20",20,0.423191666666667,0.415,0.4312
"21",21,0.421741666666667,0.4151,0.4336
"22",22,0.419366666666667,0.4096,0.4268
"23",23,0.420425,0.4149,0.4268
"24",24,0.419291666666667,0.4074,0.427
"25",25,0.418708333333333,0.4133,0.4255
"26",26,0.418308333333333,0.4136,0.4273
"27",27,0.415491666666667,0.4087,0.4216
"28",28,0.415183333333333,0.4041,0.422
"29",29,0.413075,0.4016,0.4236
"30",30,0.413625,0.4054,0.4181
"31",31,0.412433333333333,0.4051,0.4175
"32",32,0.411383333333333,0.4059,0.4193
"33",33,0.410633333333333,0.4017,0.4171
"34",34,0.407375,0.3978,0.4117
"35",35,0.407858333333333,0.4022,0.4141
"36",36,0.405008333333333,0.4001,0.4107
"37",37,0.404091666666667,0.3968,0.4087
"38",38,0.403666666666667,0.3973,0.4087
"39",39,0.402366666666667,0.3928,0.4105
"40",40,0.399616666666667,0.3864,0.4137
"41",41,0.397208333333333,0.3905,0.4061
"42",42,0.395625,0.3854,0.4028
"43",43,0.395141666666667,0.3865,0.4023
"44",44,0.393575,0.3838,0.3999
"45",45,0.392483333333333,0.3858,0.3991
"46",46,0.391925,0.3833,0.401
"47",47,0.3887,0.3806,0.3944
"48",48,0.387916666666667,0.3768,0.3937
"49",49,0.387116666666667,0.378,0.3955
"50",50,0.384775,0.3734,0.3956
"51",51,0.381675,0.3703,0.3902
"52",52,0.379508333333333,0.3736,0.3895
"53",53,0.379366666666667,0.371,0.3853
"54",54,0.376516666666667,0.3681,0.3837
"55",55,0.375683333333333,0.3651,0.3833
"56",56,0.374566666666667,0.3675,0.3812
"57",57,0.373066666666667,0.3661,0.3831
"58",58,0.370241666666667,0.3636,0.3755
"59",59,0.369875,0.3621,0.3737
"60",60,0.3674,0.3632,0.3706
"61",61,0.365591666666667,0.3542,0.3759
"62",62,0.365783333333333,0.3589,0.3703
"63",63,0.365333333333333,0.3581,0.3729
"64",64,0.362908333333333,0.3517,0.3705
"65",65,0.36015,0.3544,0.3667
"66",66,0.359458333333333,0.3492,0.3669
"67",67,0.359208333333333,0.3492,0.3709
"68",68,0.356008333333333,0.3446,0.3648
"69",69,0.35515,0.3449,0.3654
"70",70,0.354575,0.3459,0.3626
"71",71,0.352436261959529,0.3444,0.3597
"72",72,0.349194549454945,0.3365,0.3584
"73",73,0.350386185285195,0.342234223422342,0.3582
"74",74,0.346611210287695,0.3317,0.3568
"75",75,0.346536168616862,0.3395,0.3546
"76",76,0.345961161116112,0.339333933393339,0.3528
"77",77,0.344630733906724,0.3356,0.3535
"78",78,0.342166902523586,0.3374,0.3475
"79",79,0.341375174184085,0.3339,0.346
"80",80,0.339625154182085,0.333933393339334,0.347134713471347
"81",81,0.338308476681001,0.3332,0.3476
"82",82,0.338536261126113,0.331633163316332,0.3442
"83",83,0.337569553622029,0.3275,0.3438
"84",84,0.337136136113611,0.328132813281328,0.345934593459346
"85",85,0.333780601962143,0.326,0.341168233646729
"86",86,0.333508250549333,0.325632563256326,0.3436
"87",87,0.331677659434944,0.3238,0.3401
"88",88,0.330819264408769,0.3237,0.343
"89",89,0.330627751119282,0.3242,0.335500650195059
"90",90,0.330960947755274,0.326432643264326,0.3375
"91",91,0.329919226077104,0.3237,0.3415
"92",92,0.328177610274865,0.322032203220322,0.3375
"93",93,0.327402480246357,0.3188,0.3358
"94",94,0.32617193051438,0.3158,0.3335
"95",95,0.325963576347631,0.3165,0.3372
"96",96,0.325663480468695,0.3143,0.3323
"97",97,0.323138289589263,0.3131,0.3341
"98",98,0.324046778803531,0.3137,0.3343
"99",99,0.32397997129745,0.313831383138314,0.3384
"100",100,0.322938329604269,0.3148,0.332
"101",101,0.321496541226752,0.3104,0.33
"102",102,0.320913026172565,0.3159,0.327
"103",103,0.319921562094185,0.313,0.327130852340936
"104",104,0.322063203725335,0.3165,0.3287
"105",105,0.320763075381168,0.3124,0.3325
"106",106,0.319521381200745,0.3087,0.3266
"107",107,0.319821443719002,0.3102,0.3265
"108",108,0.31858800368032,0.3133,0.3263
"109",109,0.318479531989814,0.3073,0.328
"110",110,0.31940481708535,0.3124,0.3289
"111",111,0.31782973373868,0.3117,0.326530612244898
"112",112,0.320321636299284,0.3056,0.330232092837135
"113",113,0.319929840416014,0.3103,0.3268
"114",114,0.319524088655758,0.3083,0.324732473247325
"115",115,0.319132388676936,0.311,0.3275
"116",116,0.319657281128334,0.3123,0.3286
"117",117,0.321199348764635,0.313,0.329431772709084
"118",118,0.319649077850355,0.311031103110311,0.3283
"119",119,0.320157461198026,0.3077,0.3278
"120",120,0.320276677763268,0.3137,0.3287
"121",121,0.32041004112128,0.3144,0.3266
"122",122,0.32089604851457,0.3136,0.3329
"123",123,0.32105454525544,0.308,0.3303
"124",124,0.320362791095035,0.3089,0.3317
"125",125,0.322496151851398,0.3117,0.3324
"126",126,0.320987658516076,0.3082,0.3311
"127",127,0.32243782107035,0.314562912582517,0.3322
"128",128,0.323346276967464,0.3146,0.3364
"129",129,0.321621309482221,0.3114,0.3313
"130",130,0.323579675290287,0.313,0.3354
"131",131,0.326063392909583,0.3158,0.3339
"132",132,0.326365952308347,0.31983198319832,0.3365
"133",133,0.325326787706193,0.3147,0.3377
"134",134,0.325827110329004,0.3151,0.3356
"135",135,0.326218694460233,0.3185,0.3356
"136",136,0.327168774486247,0.3194,0.3348
"137",137,0.32871911795865,0.3168,0.336533653365337
"138",138,0.328693779484746,0.3239,0.3382
"139",139,0.329685815496261,0.3195,0.3388
"140",140,0.332019333039191,0.3242,0.3412
"141",141,0.330952357084881,0.324232423242324,0.3434
"142",142,0.331519424779907,0.3204,0.3414
"143",143,0.333885950441708,0.3245,0.3425
"144",144,0.331388978150206,0.3225,0.3397
"145",145,0.334039061484697,0.3275,0.3408
"146",146,0.333380553036462,0.3205,0.3449
"147",147,0.336839523276912,0.3223,0.3414
"148",148,0.33679791834346,0.3248,0.342334233423342
"149",149,0.338031249145522,0.3261,0.3485
"150",150,0.338322844934741,0.3282,0.3454
"151",151,0.338673251809357,0.328,0.347034703470347
"152",152,0.340064860149369,0.3341,0.34550730438263
"153",153,0.340881510051131,0.3328,0.3485
"154",154,0.340998213368115,0.3326,0.349134913491349
"155",155,0.341940110151177,0.3289,0.347634763476348
"156",156,0.343840650443182,0.3318,0.352911747048229
"157",157,0.344681897692949,0.3343,0.3526
"158",158,0.345615606268097,0.3366,0.352911747048229
"159",159,0.345340522002613,0.3372,0.3495
"160",160,0.345182330490553,0.3356,0.355213127876726
"161",161,0.346782464632601,0.3395,0.352711626976186
"162",162,0.349482773097338,0.3429,0.356413848308985
"163",163,0.349807548816858,0.3391,0.3548
"164",164,0.350485806732195,0.342,0.355813488092856
"165",165,0.352577650127894,0.346,0.3601
"166",166,0.351085887603298,0.3456,0.356814088453072
"167",167,0.352569178370005,0.3467,0.360536053605361
"168",168,0.353710813398365,0.3458,0.3598
"169",169,0.35367761176771,0.3463,0.3615
"170",170,0.353402647665173,0.3425,0.3606
"171",171,0.355939205044508,0.346934693469347,0.364
"172",172,0.354314032515923,0.3467,0.364
"173",173,0.358714650216771,0.3513,0.3686
"174",174,0.357706267675653,0.348,0.363472694538908
"175",175,0.357664679434049,0.3514,0.366820092055233
"176",176,0.357831241842071,0.3491,0.3659
"177",177,0.359356115066006,0.3495,0.3751
"178",178,0.359472900975472,0.348469693938788,0.3685
"179",179,0.360748252797553,0.3508,0.366920152091255
"180",180,0.361176144658841,0.3503,0.369373874774955
"181",181,0.362887795950375,0.354735473547355,0.368436843684368
"182",182,0.363987966060447,0.355535553555356,0.372737273727373
"183",183,0.362854205832477,0.354935493549355,0.3727
"184",184,0.362946171007747,0.354235423542354,0.3731
"185",185,0.363554791125971,0.352735273527353,0.371522913748249
"186",186,0.364521396083784,0.353735373537354,0.3729
"187",187,0.364888197761104,0.355935593559356,0.373
"188",188,0.364754941990241,0.35370611183355,0.373223934360616
"189",189,0.366246662769434,0.357135713571357,0.373574714942989
"190",190,0.366658172687712,0.352735273527353,0.3748
"191",191,0.367291641967534,0.355435543554355,0.375212563769131
"192",192,0.368403001177556,0.353670734146829,0.377313193958187
"193",193,0.368611532920934,0.361708512553766,0.375525315189113
"194",194,0.368902961964111,0.357971594318864,0.3769
"195",195,0.371070247244598,0.360472094418884,0.379427656593956
"196",196,0.369445094744194,0.355771154230846,0.380428256954172
"197",197,0.369953412188572,0.36110833249975,0.3803
"198",198,0.371294929539718,0.364272854570914,0.3811
"199",199,0.371720075436013,0.358971794358872,0.3793
"200",200,0.372845388102522,0.364109232769831,0.38013801380138
"201",201,0.373495398857205,0.358971794358872,0.3791
"202",202,0.372953941578945,0.361772354470894,0.384930958575145
"203",203,0.37319561906284,0.36377275455091,0.382929757854713
"204",204,0.376087786700478,0.359271854370874,0.384930958575145
"205",205,0.375670991577225,0.369573914782957,0.379827896738043
"206",206,0.375112461485838,0.366173234646929,0.3805
"207",207,0.377654564202217,0.366436643664366,0.384538453845385
"208",208,0.37752970010267,0.369410823246974,0.385931558935361
"209",209,0.377421159159023,0.37001100330099,0.384538453845385
"210",210,0.377104221514026,0.365173034606921,0.388738873887389
"211",211,0.377721242470489,0.362336233623362,0.389038903890389
"212",212,0.379054352264862,0.370774154830966,0.388938893889389
"213",213,0.379763275128989,0.370474094818964,0.3849
"214",214,0.37848776158089,0.371174234846969,0.3865
"215",215,0.379899746733453,0.365073014602921,0.3876
"216",216,0.380574694152643,0.368436843684368,0.39003900390039
"217",217,0.38182522851531,0.374037403740374,0.392039203920392
"218",218,0.381458311697219,0.371474294858972,0.38961688506552
"219",219,0.382550038409429,0.372374474894979,0.392839283928393
"220",220,0.383016862638697,0.374937493749375,0.3911
"221",221,0.382500230990877,0.375475095019004,0.388038803880388
"222",222,0.383166644978846,0.371074214842969,0.3907
"223",223,0.384642235240315,0.376537653765377,0.3919
"224",224,0.386429128732232,0.377137713771377,0.393539353935394
"225",225,0.38490358266752,0.375075015003001,0.3924
"226",226,0.384612061095255,0.376475295059012,0.393339333933393
"227",227,0.388137336848717,0.375675135027005,0.396939693969397
"228",228,0.387846116390246,0.376875375075015,0.401440144014401
"229",229,0.38721270218513,0.375237523752375,0.393439343934393
"230",230,0.387770748663335,0.377137713771377,0.3969
"231",231,0.388295767728157,0.378575715143029,0.394718415524657
"232",232,0.388371077975505,0.375737573757376,0.397739773977398
"233",233,0.387245573564612,0.377075415083017,0.3947
"234",234,0.389829694789267,0.373374674934987,0.396739673967397
"235",235,0.389929854893336,0.382076415283057,0.398839883988399
"236",236,0.392571506388191,0.380776155231046,0.4002400240024
"237",237,0.393663805879296,0.3845,0.4023
"238",238,0.395222014989525,0.381976395279056,0.408640864086409
"239",239,0.393763825060386,0.381738173817382,0.401240124012401
"240",240,0.394497402675046,0.383576715343069,0.402740274027403
"241",241,0.395714251990402,0.385538553855386,0.4034
"242",242,0.396597724532515,0.385677135427085,0.406840684068407
"243",243,0.39451395096252,0.381938193819382,0.404140414041404
"244",244,0.395072388468762,0.388916675002501,0.401320396118836
"245",245,0.39795599769252,0.390078015603121,0.403521056316895
"246",246,0.397655997772265,0.388938893889389,0.408640864086409
"247",247,0.397864748026941,0.386038603860386,0.41044104410441
"248",248,0.400748403890172,0.392578515703141,0.412641264126413
"249",249,0.399584775793485,0.390378075615123,0.4074
"250",250,0.401643627662588,0.395139513951395,0.4071
"251",251,0.402260923996719,0.393818145443633,0.417692384669269
"252",252,0.403160504330398,0.396418925677703,0.411741174117412
