sim,gam_blood_meal_rates,gam_foraging_time ,gam_Q0,gam_phiB,gam_phiI,gam_mum,fun_blood_meal_rates,fun_foraging_time ,fun_Q0,fun_phiB,fun_phiI,fun_mum,gam_dn0,gam_rn,gam_gamman,fun_dn0,fun_rn,fun_gamman
39,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
40,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
41,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
42,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
43,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
44,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
45,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
46,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
47,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
48,0.33,0.69,0.92,0.92,0.97,0.132,0.33,0.69,0.94,0.83,0.92,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
49,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
50,0.33,0.69,0.85,0.92,0.97,0.132,0.33,0.69,0.84,0.83,0.92,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
