"","timestep","net_use","prev_6m_10y"
"1",1,0,0.751172413793103
"2",2,0,0.75241512558653
"3",3,0,0.74717085288435
"4",4,0,0.746408839779006
"5",5,0,0.750552486187845
"6",6,0,0.744128212213319
"7",7,0,0.748479823106689
"8",8,0,0.746128318584071
"9",9,0,0.751313969571231
"10",10,0,0.748547717842324
"11",11,0,0.75172795134089
"12",12,0,0.750552486187845
"13",13,0,0.755383765875207
"14",14,0,0.757868580894533
"15",15,0,0.752898950855881
"16",16,0,0.751726042529688
"17",17,0,0.749516708091687
"18",18,0,0.748964374482187
"19",19,0,0.749792874896437
"20",20,0,0.742817679558011
"21",21,0,0.753451131971287
"22",22,0,0.745790781120618
"23",23,0,0.747583540458437
"24",24,0,0.754211543772439
"25",25,0,0.750414135836554
"26",26,0,0.748135874067937
"27",27,0,0.752002209334438
"28",28,0,0.749101961867919
"29",29,0,0.748479823106689
"30",30,0,0.750553097345133
"31",31,0,0.749585406301824
"32",32,0,0.74260436826099
"33",33,0,0.744057490326147
"34",34,0,0.74468085106383
"35",35,0,0.746821448313986
"36",36,0,0.748340707964602
"37",37,0,0.741078838174274
"38",38,0,0.742944106253459
"39",39,0,0.741980088495575
"40",40,0,0.742390702822358
"41",41,0,0.746190080354669
"42",42,0,0.745424292845258
"43",43,0,0.743760399334443
"44",44,0,0.745146977260122
"45",45,0,0.740566037735849
"46",46,0,0.746252082176569
"47",47,0,0.748542880932556
"48",48,0,0.751040799333888
"49",49,0,0.745353675450763
"50",50,0,0.748612652608213
"51",51,0,0.742096505823627
"52",52,0,0.747295423023578
"53",53,0,0.746810870770937
"54",54,0,0.740915395284327
"55",55,0,0.745560488346282
"56",56,0,0.739106300305301
"57",57,0,0.739106300305301
"58",58,0,0.737163474882043
"59",59,0,0.734257975034674
"60",60,0,0.731057452123231
"61",61,0,0.735571587125416
"62",62,0,0.734110463502637
"63",63,0,0.738768718801997
"64",64,0,0.738563903520931
"65",65,0,0.730651872399445
"66",66,0,0.732593619972261
"67",67,0,0.73723640399556
"68",68,0,0.738973647711512
"69",69,0,0.742508324084351
"70",70,0,0.742579750346741
"71",71,0,0.737031900138696
"72",72,0,0.733425797503467
"73",73,0,0.732425673798277
"74",74,0,0.731741183004721
"75",75,0,0.738128297695085
"76",76,0,0.741039177549319
"77",77,0,0.734926368435677
"78",78,0,0.741729218793439
"79",79,0,0.740061162079511
"80",80,0,0.747567417292188
"81",81,0,0.747081712062257
"82",82,0,0.744929146985274
"83",83,0,0.750277777777778
"84",84,0,0.744102137107966
"85",85,0,0.742436858173744
"86",86,0,0.747917823431427
"87",87,0,0.745070813662871
"88",88,0,0.752428531779073
"89",89,0,0.746877601998335
"90",90,0,0.753538717735221
"91",91,0,0.751804553026097
"92",92,0,0.755901138572619
"93",93,0,0.750555555555556
"94",94,0,0.759444444444444
"95",95,0,0.754166666666667
"96",96,0,0.74937482634065
"97",97,0,0.758400444321022
"98",98,0,0.757146822092701
"99",99,0,0.758821894970825
"100",100,0,0.756185710314151
"101",101,0,0.765916041145399
"102",102,0,0.765164162493044
"103",103,0,0.764476614699332
"104",104,0,0.762806236080178
"105",105,0,0.766703786191537
"106",106,0,0.762886597938144
"107",107,0,0.762872251600334
"108",108,0,0.758975786251044
"109",109,0,0.761971046770601
"110",110,0,0.761705685618729
"111",111,0,0.767623293396489
"112",112,0,0.764427097853359
"113",113,0,0.760390516039052
"114",114,0,0.755022321428571
"115",115,0,0.75404350250976
"116",116,0,0.751741432153803
"117",117,0,0.754738015607581
"118",118,0,0.755574136008919
"119",119,0,0.749442586399108
"120",120,0,0.757103064066852
"121",121,0,0.751113585746102
"122",122,0,0.755079320901753
"123",123,0,0.748817802503477
"124",124,0,0.747008071249652
"125",125,0,0.752646239554318
"126",126,0,0.741989412092505
"127",127,0,0.742690058479532
"128",128,0,0.739348370927318
"129",129,0,0.741153524658679
"130",130,0,0.743382557815548
"131",131,0,0.741009199888486
"132",132,0,0.732645664901032
"133",133,0,0.73494983277592
"134",134,0,0.734875940897686
"135",135,0,0.728742681906886
"136",136,0,0.733073279465032
"137",137,0,0.727576601671309
"138",138,0,0.72623362141065
"139",139,0,0.729096989966555
"140",140,0,0.729021466406468
"141",141,0,0.732645664901032
"142",142,0,0.730286988018947
"143",143,0,0.728818283166109
"144",144,0,0.720858895705521
"145",145,0,0.723849372384937
"146",146,0,0.726917712691771
"147",147,0,0.725523012552301
"148",148,0,0.723291492329149
"149",149,0,0.725954836911068
"150",150,0,0.721215500418177
"151",151,0,0.724762967094255
"152",152,0,0.719743446737312
"153",153,0,0.718070273284997
"154",154,0,0.71834913552705
"155",155,0,0.720424107142857
"156",156,0,0.722578844543678
"157",157,0,0.718671504325984
"158",158,0,0.717154811715481
"159",159,0,0.723849372384937
"160",160,0,0.715680803571429
"161",161,0,0.719386331938633
"162",162,0,0.721727019498607
"163",163,0,0.719298245614035
"164",164,0,0.720133667502089
"165",165,0,0.714365256124722
"166",166,0,0.715001391594768
"167",167,0,0.71440489432703
"168",168,0,0.717421505973882
"169",169,0,0.721789883268482
"170",170,0,0.716231239577543
"171",171,0,0.716310086135038
"172",172,0,0.71273637374861
"173",173,0,0.712340188993886
"174",174,0,0.712062256809339
"175",175,0,0.713094245204337
"176",176,0,0.712180200222469
"177",177,0,0.712100139082058
"178",178,0,0.717463848720801
"179",179,0,0.71365026410898
"180",180,0,0.706896551724138
"181",181,0,0.710870169585766
"182",182,0,0.70880800222284
"183",183,0,0.707893274041134
"184",184,0,0.714920811336482
"185",185,0,0.715397443023902
"186",186,0,0.710555555555556
"187",187,0,0.710161021654636
"188",188,0,0.707384786229872
"189",189,0,0.706633361087982
"190",190,0,0.710796558423536
"191",191,0,0.704968082153761
"192",192,0,0.70185646993627
"193",193,0,0.700193959545581
"194",194,0,0.696507760532151
"195",195,0,0.697339246119734
"196",196,0,0.695760598503741
"197",197,0,0.696952908587258
"198",198,0,0.694629014396456
"199",199,0,0.699944690265487
"200",200,0,0.693009118541033
"201",201,0,0.694582642343836
"202",202,0,0.690351119712469
"203",203,0,0.6983688139342
"204",204,0,0.689349930843707
"205",205,0,0.690351119712469
"206",206,0,0.689693285437966
"207",207,0,0.68767274737424
"208",208,0,0.686377452334899
"209",209,0,0.685272174633877
"210",210,0,0.685185185185185
"211",211,0,0.685185185185185
"212",212,0,0.678097345132743
"213",213,0,0.679944674965422
"214",214,0,0.681780481061653
"215",215,0,0.677998894416805
"216",216,0,0.680951064418026
"217",217,0,0.674039259054465
"218",218,0,0.677633397843517
"219",219,0,0.671551009123583
"220",220,0,0.671827481338126
"221",221,0,0.670353982300885
"222",222,0,0.670445120265413
"223",223,0,0.663259668508287
"224",224,0,0.663904998619166
"225",225,0,0.662613981762918
"226",226,0,0.657458563535912
"227",227,0,0.657734806629834
"228",228,0,0.654781647318961
"229",229,0,0.652294085129906
"230",230,0,0.655878284923928
"231",231,0,0.648409405255878
"232",232,0,0.648588821250692
"233",233,0,0.643035170312933
"234",234,0,0.645527554693991
"235",235,0,0.641927443921351
"236",236,0,0.642303433001107
"237",237,0,0.644795127353267
"238",238,0,0.640188209244395
"239",239,0,0.639435059540294
"240",240,0,0.63195790639712
"241",241,0,0.635457063711911
"242",242,0,0.626662971175166
"243",243,0,0.631476863397063
"244",244,0,0.619456762749446
"245",245,0,0.619694868238558
"246",246,0,0.621464226289517
"247",247,0,0.615128844555278
"248",248,0,0.61120354963949
"249",249,0,0.608321775312067
"250",250,0,0.603606102635229
"251",251,0,0.606102635228849
"252",252,0,0.602329450915141
"253",253,0,0.598112683874549
"254",254,0,0.596612992781788
"255",255,0,0.597114317425083
"256",256,0,0.596836847946726
"257",257,0,0.588447653429603
"258",258,0,0.5825
"259",259,0,0.584491384102279
"260",260,0,0.578771881078077
"261",261,0,0.577382606279522
"262",262,0,0.572936926924146
"263",263,0,0.576068850638534
"264",264,0,0.567897806164954
"265",265,0,0.56599055293137
"266",266,0,0.569085348901863
"267",267,0,0.566063977746871
"268",268,0,0.563838664812239
"269",269,0,0.563403781979978
"270",270,0,0.563439065108514
"271",271,0,0.564709156693571
"272",272,0,0.559977734483718
"273",273,0,0.555091819699499
"274",274,0,0.554689674366824
"275",275,0,0.546340105761202
"276",276,0,0.546896743668244
"277",277,0,0.548997772828508
"278",278,0,0.551628165878096
"279",279,0,0.547453381575285
"280",280,0,0.552060133630289
"281",281,0,0.546340105761202
"282",282,0,0.54775828460039
"283",283,0,0.547075208913649
"284",284,0,0.549986076301866
"285",285,0,0.547884187082405
"286",286,0,0.546492204899777
"287",287,0,0.549429128376497
"288",288,0,0.549986076301866
"289",289,0,0.549303621169916
"290",290,0,0.551935394040657
"291",291,0,0.55001393145723
"292",292,0,0.549679933203451
"293",293,0,0.549902696691688
"294",294,0,0.554752640355753
"295",295,0,0.555617352614016
"296",296,0,0.556018904642758
"297",297,0,0.554474708171206
"298",298,0,0.556852932999722
"299",299,0,0.558798999165972
"300",300,0,0.566425792106726
"301",301,0,0.568251320544899
"302",302,0,0.563995548135782
"303",303,0,0.569003895381191
"304",304,0,0.569123783031989
"305",305,0,0.569123783031989
"306",306,0,0.576077885952712
"307",307,0,0.576035585209897
"308",308,0,0.571865443425077
"309",309,0,0.571825507085301
"310",310,0,0.569880522367324
"311",311,0,0.579049736037788
"312",312,0,0.578289838978345
"313",313,0,0.584559844487642
"314",314,0,0.576111111111111
"315",315,0,0.579838933629547
"316",316,0,0.576624097723487
"317",317,0,0.584675180455303
"318",318,0,0.589558455984449
"319",319,0,0.581066074403109
"320",320,0,0.587125416204218
"321",321,0,0.592284207604774
"322",322,0,0.586015538290788
"323",323,0,0.592233009708738
"324",324,0,0.589459084604716
"325",325,0,0.585575589459085
"326",326,0,0.592068774265114
"327",327,0,0.589637018564699
"328",328,0,0.590241197671195
"329",329,0,0.59589800443459
"330",330,0,0.592356687898089
"331",331,0,0.596452328159645
"332",332,0,0.595732889997229
"333",333,0,0.594736842105263
"334",334,0,0.592130784150734
"335",335,0,0.597838137472284
"336",336,0,0.597395400387919
"337",337,0,0.596398891966759
"338",338,0,0.598669623059867
"339",339,0,0.600942872989462
"340",340,0,0.59750346740638
"341",341,0,0.599278979478647
"342",342,0,0.600443951165372
"343",343,0,0.607766990291262
"344",344,0,0.598835597449404
"345",345,0,0.606548279689234
"346",346,0,0.602386237513873
"347",347,0,0.602606766500277
"348",348,0,0.609925145550319
"349",349,0,0.605934553521908
"350",350,0,0.606380027739251
"351",351,0,0.611927877947295
"352",352,0,0.606825749167592
"353",353,0,0.608768035516093
"354",354,0,0.610263522884882
"355",355,0,0.606211869107044
"356",356,0,0.606598281120044
"357",357,0,0.610926234054354
"358",358,0,0.611311339062933
"359",359,0,0.611973392461197
"360",360,0,0.611141906873614
"361",361,0,0.613252009980593
"362",362,0,0.609864228318094
"363",363,0,0.611249653643669
"364",364,0,0.615469919600776
"365",365,0,0.614745011086475
"366",366,0,0.60920177383592
"367",367,0,0.609478935698448
"368",368,0,0.60920177383592
"369",369,0,0.607429997227613
"370",370,0,0.602439700582201
"371",371,0,0.605044345898004
"372",372,0,0.601551676364644
"373",373,0,0.607034062586541
"374",374,0,0.609357696566999
"375",375,0,0.607587925782332
"376",376,0,0.604432132963989
"377",377,0,0.604264746607588
"378",378,0,0.600387704237053
"379",379,0,0.607321131447587
"380",380,0,0.605044345898004
"381",381,0,0.600055432372506
"382",382,0,0.595508733019129
"383",383,0,0.597006651884701
"384",384,0,0.598226655583264
"385",385,0,0.600554016620499
"386",386,0,0.598560354374308
"387",387,0,0.599667774086379
"388",388,0,0.598060941828255
"389",389,0,0.601939058171745
"390",390,0,0.598726114649682
"391",391,0,0.60415512465374
"392",392,0,0.606094182825485
"393",393,0,0.605649404597065
"394",394,0,0.608972583771808
"395",395,0,0.602049293824425
"396",396,0,0.604818609803379
"397",397,0,0.606757130988646
"398",398,0,0.604651162790698
"399",399,0,0.606203267792855
"400",400,0,0.611018826135105
"401",401,0,0.60592633619496
"402",402,0,0.605372472999169
"403",403,0,0.604876697146024
"404",404,0,0.606816292601829
"405",405,0,0.601053507069587
"406",406,0,0.604490022172949
"407",407,0,0.604432132963989
"408",408,0,0.6087437742114
"409",409,0,0.603543743078627
"410",410,0,0.599225020758373
"411",411,0,0.602216066481994
"412",412,0,0.600332133960698
"413",413,0,0.606589147286822
"414",414,0,0.598837209302326
